,Country,n_laws
0,CHINA,1
1,RUSSIA,1
2,INDIA,1
3,CANADA,1
4,KOREA,1
5,INDONESIA,1
6,GERMANY,1
7,VIETNAM,1
8,TURKEY,1
9,UNITED STATES,1
10,DENMARK,1
11,TAIWAN,1
12,BELGIUM,1
13,SWEDEN,1
14,BRAZIL,1
15,COLOMBIA,1
16,NIGERIA,1
17,ROMANIA,1
18,ARGENTINA,1
19,SINGAPORE,1
20,AUSTRALIA,1
21,JAPAN,1
22,NEW ZEALAND,1
23,UNITED KINGDOM,1
24,PAKISTAN,1
25,EUROPEAN UNION,1
26,BULGARIA,1
27,SOUTH AFRICA,1
28,PERU,1
29,GREECE,1
30,FRANCE,1
31,SPAIN,1
32,POLAND,1
33,LUXEMBOURG,1
34,PORTUGAL,1
35,NETHERLANDS,1
36,THAILAND,1
37,MEXICO,1
38,MALAYSIA,1
39,BRUNEI,1
40,SLOVENIA,1
41,FINLAND,1
42,CHILE,1
43,ITALY,1
44,ISRAEL,1
45,PHILIPPINES,1
